route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1,LV,1_21300_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_21840_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_22680_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_23400_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_24120_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_24720_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_26100_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_26700_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_27000_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_27300_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_27600_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_28320_0_0_10,Calea Dumbravii 1,0,1.0
1,LV,1_28920_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_29520_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_30120_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_30900_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_31320_0_0_3,Calea Dumbravii 1,0,1.0
1,LV,1_31920_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_32520_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_33120_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_33600_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_34200_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_34980_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_35580_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_36300_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_37020_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_37740_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_38460_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_39180_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_39900_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_40620_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_41340_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_42120_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_42780_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_43500_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_44220_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_44940_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_45720_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_46320_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_46920_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_47520_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_48120_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_48720_0_0_6,Calea Dumbravii 1,0,1.0
1,LV,1_49320_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_49920_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_50520_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_51300_0_0_1,Calea Dumbravii 1,0,1.0
1,LV,1_52320_0_0_2,Calea Dumbravii 1,0,1.0
1,LV,1_53100_0_0_4,Calea Dumbravii 1,0,1.0
1,LV,1_53820_0_0_5,Calea Dumbravii 1,0,1.0
1,LV,1_54600_0_0_7,Calea Dumbravii 1,0,1.0
1,LV,1_55260_0_0_8,Calea Dumbravii 1,0,1.0
1,LV,1_55920_0_0_9,Calea Dumbravii 1,0,1.0
1,LV,1_56820_0_0_1,Calea Dumbravii 1,0,1.0
